source,id,name,description,type,dependencies,registry_dependencies,official_url,registry_json,files
Aceternity UI,3d-card-effect,3D Card Effect,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/3d-card-effect,not publicly exposed as complete registry,
Aceternity UI,3d-globe,3D Globe,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/3d-globe,not publicly exposed as complete registry,
Aceternity UI,3d-marquee,3D Marquee,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/3d-marquee,not publicly exposed as complete registry,
Aceternity UI,3d-pin,3D Pin,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/3d-pin,not publicly exposed as complete registry,
Aceternity UI,animated-modal,Animated Modal,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/animated-modal,not publicly exposed as complete registry,
Aceternity UI,animated-testimonials,Animated Testimonials,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/animated-testimonials,not publicly exposed as complete registry,
Aceternity UI,animated-tooltip,Animated Tooltip,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/animated-tooltip,not publicly exposed as complete registry,
Aceternity UI,apple-cards-carousel,Apple Cards Carousel,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/apple-cards-carousel,not publicly exposed as complete registry,
Aceternity UI,ascii-art,Ascii Art,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/ascii-art,not publicly exposed as complete registry,
Aceternity UI,aurora-background,Aurora Background,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/aurora-background,not publicly exposed as complete registry,
Aceternity UI,background-beams,Background Beams,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/background-beams,not publicly exposed as complete registry,
Aceternity UI,background-beams-with-collision,Background Beams With Collision,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/background-beams-with-collision,not publicly exposed as complete registry,
Aceternity UI,background-boxes,Background Boxes,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/background-boxes,not publicly exposed as complete registry,
